日時,総アクセス数(PV),アクセス数(UU),転載数, PC(PV基準), スマートフォン(PV基準), タブレット(PV基準)
2025年02月20日,0,0,0,-,-,-
2025年02月21日,370,368,20,92.37%,6.54%,1.09%
2025年02月22日,89,89,10,92.66%,7.34%,0%
2025年02月23日,53,53,0,92.86%,7.14%,0%
2025年02月24日,32,32,0,91.43%,8.57%,0%
2025年02月25日,41,41,0,86.05%,13.95%,0%
2025年02月26日,23,23,0,89.29%,10.71%,0%
2025年02月27日,26,26,0,100%,0%,0%
2025年02月28日,16,16,0,88.24%,11.76%,0%
2025年03月01日,10,10,0,81.82%,18.18%,0%
2025年03月02日,13,13,0,78.57%,14.29%,7.14%
2025年03月03日,6,6,0,100%,0%,0%
2025年03月04日,3,3,0,60%,40%,0%
2025年03月05日,1,1,0,100%,0%,0%
2025年03月06日,2,2,0,100%,0%,0%
2025年03月07日,9,9,0,66.67%,33.33%,0%
2025年03月08日,2,2,0,100%,0%,0%
2025年03月09日,17,17,0,44.44%,55.56%,0%
2025年03月10日,5,5,0,80%,20%,0%
2025年03月11日,9,9,0,60%,40%,0%
2025年03月12日,4,4,0,50%,50%,0%
2025年03月13日,3,3,0,100%,0%,0%
2025年03月14日,7,7,0,62.5%,37.5%,0%
2025年03月15日,8,8,0,37.5%,62.5%,0%
2025年03月16日,7,7,0,71.43%,28.57%,0%
2025年03月17日,5,5,0,71.43%,28.57%,0%
2025年03月18日,13,13,0,50%,50%,0%
2025年03月19日,3,3,0,100%,0%,0%
2025年03月20日,6,6,0,87.5%,12.5%,0%
2025年03月21日,13,13,0,80%,20%,0%
2025年03月22日,6,6,0,57.14%,42.86%,0%
2025年03月23日,5,5,0,66.67%,33.33%,0%
2025年03月24日,6,6,0,85.71%,14.29%,0%
2025年03月25日,4,4,0,75%,25%,0%
2025年03月26日,2,2,0,66.67%,33.33%,0%
2025年03月27日,2,2,0,100%,0%,0%
2025年03月28日,4,4,0,100%,0%,0%
2025年03月29日,5,5,0,80%,20%,0%
2025年03月30日,6,6,0,50%,50%,0%
2025年03月31日,15,15,0,62.5%,37.5%,0%
2025年04月01日,6,6,0,28.57%,71.43%,0%
2025年04月02日,5,5,0,60%,40%,0%
2025年04月03日,1,1,0,100%,0%,0%
2025年04月04日,5,5,0,40%,60%,0%
2025年04月05日,1,1,0,100%,0%,0%
2025年04月06日,4,4,0,33.33%,66.67%,0%
2025年04月07日,16,16,0,82.35%,17.65%,0%
2025年04月08日,10,10,0,45.45%,54.55%,0%
2025年04月09日,5,5,0,50%,50%,0%
2025年04月10日,66,66,0,25%,72.06%,2.94%
2025年04月11日,54,54,0,20.37%,79.63%,0%
2025年04月12日,44,44,0,25%,75%,0%
2025年04月13日,46,46,0,31.25%,66.67%,2.08%
2025年04月14日,31,31,0,19.35%,80.65%,0%
2025年04月15日,19,19,0,36.84%,63.16%,0%
2025年04月16日,14,14,0,35.71%,57.14%,7.14%
2025年04月17日,12,12,0,16.67%,83.33%,0%
2025年04月18日,13,13,0,46.15%,53.85%,0%
2025年04月19日,16,16,0,44.44%,55.56%,0%
2025年04月20日,9,9,0,44.44%,55.56%,0%
2025年04月21日,13,13,0,21.43%,78.57%,0%
2025年04月22日,18,18,0,50%,50%,0%
2025年04月23日,18,18,0,50%,50%,0%
2025年04月24日,4,4,0,75%,25%,0%
2025年04月25日,20,20,0,70%,30%,0%
2025年04月26日,14,14,0,33.33%,66.67%,0%
2025年04月27日,21,21,0,66.67%,33.33%,0%
2025年04月28日,29,29,0,40%,60%,0%
2025年04月29日,22,22,0,43.48%,56.52%,0%
2025年04月30日,14,14,0,78.57%,21.43%,0%
2025年05月01日,14,14,0,78.57%,21.43%,0%
2025年05月02日,10,10,0,40%,60%,0%
2025年05月03日,21,21,0,31.82%,68.18%,0%
2025年05月04日,15,15,0,60%,40%,0%
2025年05月05日,22,22,0,56.52%,43.48%,0%
2025年05月06日,25,25,0,46.15%,50%,3.85%
2025年05月07日,13,13,0,53.33%,46.67%,0%
2025年05月08日,6,6,0,71.43%,28.57%,0%
2025年05月09日,13,13,0,53.85%,46.15%,0%
2025年05月10日,26,26,0,44.44%,55.56%,0%
2025年05月11日,12,12,0,58.33%,41.67%,0%
2025年05月12日,5,5,0,40%,40%,20%
2025年05月13日,8,8,0,62.5%,37.5%,0%
2025年05月14日,17,17,0,41.18%,52.94%,5.88%
2025年05月15日,9,9,0,40%,60%,0%
2025年05月16日,11,11,0,54.55%,45.45%,0%
2025年05月17日,7,7,0,57.14%,42.86%,0%
